name,score
Software,93664
Fanxiang S910MAX 2TB,93267
KINGSTON SRNG2S2T0,93137
XPG MARS 980 PRO,92740
KINGSTON SFYR2S4T0,92506
Corsair MP700 PRO XT,91923
XPG MARS 980 BLADE,89704
WD BLACK SN8100 2000GB,89555
WD BLACK SN8100 4000GB,89171
Samsung SSD 9100 PRO 8TB,87961
Samsung 9100 PRO 4TB SSD,87537
BIWIN X570 PRO 2TB,87402
KINGSTON SFYR2S2T0,87300
CT4000T710SSD8,86998
Samsung 9100 PRO 2TB SSD,86203
NVMe PCB01 SED SK hynix 2048GB,85229
Samsung SSD 9100,84951
BIWIN X570 PRO 4TB,84886
Viper PV593 2TB,84784
Sandisk PC SN8050S SDFQNJL-2T00-1001,84212
PM9E1 SED Samsung 2048GB,82718
Predator SSD GM9000 1TB,81969
KINGSTON SFYR2S1T0,81814
Samsung 9100 PRO 1TB SSD,81683
Lexar SSD ARES PRO 4TB,81352
WD BLACK SN8100 1000GB,80891
BIWIN X570 PRO 1TB,80813
SIX X15000 Pro SSD,80705
CT2000T710SSD8,80665
Samsung SSD 9100 PRO with Heatsink 4TB,80601
Samsung SSD 9100 PRO with Heatsink 2TB,80522
XPG MARS 980 STORM,79939
CT1000T710SSD8,79817
SKHynix HFS001TFM9X178N,79365
KINGSTON SRNG2S1T0,79306
WD BLACK SN8100 HS 2000GB,79030
NVMe HFS001TFM9X186N,78846
HPT DISK 0 0,78166
SHPP51-1000GM,77656
Crucial T705 4TB SSD,77104
PCB01 SED SK hynix 2048GB,77048
Lexar SSD NM1090 PRO 4TB,76584
Lexar SSD NM1090 PRO 2TB,76552
Predator SSD GM9 2TB,76515
NVMe PCB01 SED SK hynix 1024GB,76072
Samsung SSD 9100 PRO with Heatsink 8TB,75894
Gigabyte AORUS 14000 2TB SSD,75288
SKHynix HFS002TFM9X178N,75081
ADATA LEGEND 970 PRO 4TB SSD,74879
Corsair MP700 PRO SE 4TB,74628
Sabrent Rocket 5 2TB SSD,74579
Samsung SSD 9100 PRO with Heatsink 1TB,74473
Lexar SSD NM1090 PRO 1TB,74413
SAMSUNG MZVLC1T0HFLU-00B07,74248
Viper PV553 2TB,74208
SAMSUNG MZVLC2T0HBLD-00BL2,74205
T-FORCE GC Pro 2TB,73827
Crucial T705 2TB SSD,73401
IRP-SSDPR-P54S-4K0-80,73392
Corsair MP700 PRO SE,72999
ZHITAI TiPro9000 1TB,72371
Crucial T705 4TB SSD with heatsink,72256
Lexar SSD NM990 2TB,72227
Crucial T705 2TB SSD with heatsink,72116
GIGABYTE AORUS Gen5 12000 2TB,71756
Crucial T700 4TB SSD,71399
MSI M580 4TB,71277
HFS002TFM9X186N,71137
SAMSUNG MZVLC2T0HBLD-00BT7,70837
NVMe CT4000T705SSD3,69791
Sabrent Rocket 5 4TB SSD,69782
Team Group Z540 2 TB,69716
Crucial T700 2TB SSD,69461
Crucial T700 4TB SSD with heatsink,69262
CT1000T705SSD3,68614
TEAM T-FORCE GE PRO 2TB SSD,68404
Phison 2000GB ESO2K0GMLCA0-EP8-420MS,68306
Lexar SSD ARES PRO 2TB,68272
Corsair MP700 PRO 4TB,67867
IRP-SSDPR-P54S-2K0-80,67699
Corsair MP700 PRO 2TB,67592
SK hynix PCB01 HFS002TFM9X187N,67417
Crucial T705 1TB SSD,67028
Gigabyte AORUS 14000 1TB SSD,66958
PCIe SSD Gen5 Pro,66249
Intel Optane DC P5810X 400GB,66134
Lexar SSD NM1090 1TB,66078
Predator SSD GM9 1TB,66048
BIWIN X570 1TB,66007
SAMSUNG MZVLC1T0HFLU-00BL2,65992
Lexar SSD ARES PRO 1TB,65884
ADATA LEGEND 970 2TB SSD,65622
PM9E1 SED Samsung 1024GB,65526
MSI M560 2TB,65486
Lexar SSD NM1090 2TB,65263
MSI M570 2TB,65093
MSI M580 2TB,65048
Crucial T700 2TB SSD with heatsink,64812
TEAM T-FORCE Z540 4TB SSD,64624
Crucial T705 1TB SSD with heatsink,64582
Corsair MP700 ELITE 2TB,64560
E31-2TB-PHISON-SSD-BICS8WL,64376
TEAM T-FORCE GE PRO 4TB SSD,64348
Apacer AS2280F4 1TB,64302
Fanxiang S910Pro 1TB,63794
HFS001TFM9X186N,63690
Corsair MP700 PR 1TB Disk Drive,63643
MSI M570 PRO 2TB,63594
TEAM T-FORCE Z540 1TB SSD,63375
PNY CS2150 2TB SSD,63139
PCB01 SED SK hynix 1024GB,62751
Sabrent Rocket 5 1TB SSD,62674
Seagate FireCuda 540 2TB SSD,62583
AORUS Gen5 10000 SSD 2TB,62410
Corsair MP700 PRO 1TB,62381
CT1000P510SSD8,62331
Corsair MP700 2TB,61988
Corsair MP700 ELITE 2TB with Heatsink,61673
KIOXIA-EXCERIA PLUS G4 SSD,61631
imation M.2 PCIe 1TB SSD TX751,61624
Intel Optane DC P5800X 800GB,61560
AORUS Gen5 10000 SSD 1TB,61187
CT2000P510SSD8,60808
CT1000P510SSD5,60651
BIWIN X570 2TB,60492
MSI M560 1TB,60061
Crucial T700 1TB SSD,59216
ADATA LEGEND 970 PRO 1TB SSD,59108
GIGABYTE AORUS Gen5 12000 1TB,59055
CT2000P510SSD5,58903
SK hynix PCB01 HFS001TFM9X187N,58674
PNY CS3150 1TB SSD,58489
Addlink G55H 2TB SSD,58379
Crucial T700 1TB SSD with heatsink,58137
SAMSUNG MZVLC2T0HBLD-00BLL,58023
Fanxiang S900Pro 2TB,57814
SAMSUNG MZVLC1T0HFLU-00BH1,57167
Corsair MP700 ELITE 1TB,57004
Intel Optane DC P5800X 1.6TB,56845
MLD22M800,56467
Dell Ent NVMe P5800x WI U.2 1.6TB,56358
PNY CS2150 1TB SSD,56329
NVMe PM9F1 SED Samsung 2048GB,56211
ADATA XPG GAMMIX S70 BLADE 2TB SSD,56161
Fantom VENOM 2TB SSD,55895
NVMe PC SN8000S SED SanDisk 2048GB,55726
XG10d SED KIOXIA 2048GB,55687
WDC WD8003FFBX,55488
NVMe WD BLACK SN7100 2TB,55424
harddisk SSD,55419
T-FORCE TM8FFJ001T,55276
ZGJOLONG 990 Max 2TB,55169
Phison 2TB ESR02TBTLCA3-E1J-2MS,55144
DGSM5001TP31T,55040
WD BLACK SN850P for PS5 4000GB,55001
Fikwot FN970 4TB SSD,54809
SAMSUNG MZVLC1T0HFLU-00BLL,54764
Predator SSD GM7000HS 4TB,54749
Addlink G55H 1TB SSD,54540
KingSpec VP 1TB SSD,54471
WD BLACK SN8100,54383
Seagate ZP2000GM30073,54106
XG10d SED KIOXIA 1024GB,54104
WD BLACK SN850P for PS5 8000GB,53992
WD PC SN8000S SDEQNRK-1T00-1002,53909
PC SN8000S SED SanDisk 2048GB,53785
KINGSTON OM8PDP3 2TB SSD,53620
NVMe WD PC SN8000S SDEQNRG-2T00-1002,53564
KIOXIA-EXCERIA BASIC SSD,53460
Corsair MP700 1TB,53378
IRP-SSDPR-P44A-2K0-80,53180
WD BLACK SN850X HS 8000GB,53039
SUNEAST Gen4 G70 2TB,52868
XG10d SED KIOXIA 4096GB,52777
SAMSUNG MZVLC512HFJD-00B07,52755
ADATA LEGEND 970 1TB SSD,52751
WD Blue SN5100 2TB,52717
Seagate FireCuda 540 1TB SSD,52661
Intel Optane DC P5800X 400GB,52507
WD PC SN8000S SDEQNRK-1T00-1001,52366
TEAM T-Force G70 Pro 2TB SSD,52360
TEAM T-FORCE G70 PRO 4TB SSD,52296
ADATA XPG GAMMIX S70 Blade 4TB SSD,52206
GIGABYTE AG514K4TB,52122
TEAM T-FORCE CARDEA A440 PRO 4TB SSD,52085
WAVLINK RapidFire880 -2T,52041
TEAM T-FORCE GC PRO 4TB,52035
NVMe WD BLACK SN7100 1TB,52003
PC SN7100S SanDisk 1024GB,51936
XPG GAMMIX S70 PRO 2TB,51923
Corsair MP600 PRO NH,51860
KLEVV CRAS C925 1TB SSD,51789
Sabrent Rocket 4 Plus Gaming 4TB SSD,51751
WD BLACK SN7100 2TB,51658
PSEMN01TA87NC0,51615
NVMe PC SN8000S SED SanDisk 1024GB,51522
BIWIN NV7400 4TB,51505
WD PC SN8000S SDEQNRG-2T00-1002,51490
WD BLACK SN850X 2000GB,51478
MasonSemi SSD,51455
Gloway AN4 Plus 1TB SSD,51414
Ardor gaming m.2 NVME 2048Gb ALG412816,51395
MSI M570 1TB,51389
WD BLACK SN850X 4TB,51385
Kingston FURY Renegade 4TB SSD,51343
Verbatim Vi7000 4TB SSD,51297
SAMSUNG MZVLC4T0HBL1-00BLL,51283
