Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price (USD)
A-DATA Technology AD5U480016G-B 16GB,46,17.9,15.1,
A-DATA Technology AD5U48008G-B 8GB,46,17.8,14.5,
A-DATA Technology AX5U5200C3816G-B 16GB,42,17.8,15.0,
A-DATA Technology AX5U6000C4016G-B 16GB,40,19.0,16.1,
Corsair CM5S16GM4800A40K2 16GB,24,13.4,12.4,
Corsair CM5S16GM4800A40N2 16GB,24,13.9,12.4,
Corsair CMH32GX5M2B5200C40 16GB,46,19.1,16.1,$309.00
Corsair CMH32GX5M2B5600C36 16GB,43,20.2,17.0,$329.00
Corsair CMH32GX5M2B5600C40 16GB,45,19.0,16.1,$349.00
Corsair CMH32GX5M2B6000C40 16GB,42,21.7,17.1,$399.00
Corsair CMH32GX5M2B6200C36 16GB,38,23.5,20.5,$469.00
Corsair CMK32GX5M2A4800C40 16GB,41,16.8,14.5,$339.00
Corsair CMK32GX5M2B5200C40 16GB,41,17.9,15.1,$289.00
Corsair CMK32GX5M2B5600C36 16GB,39,18.7,16.0,$319.00
Corsair CMK32GX5M2B6000C36 16GB,43,20.1,17.0,
Corsair CMK32GX5M2B6200C36 16GB,40,22.1,18.1,
Corsair CMK32GX5M2D6000C36 16GB,42,20.1,17.2,
Corsair CMK32GX5M2X5600C32 16GB,40,20.5,17.3,
Corsair CMK32GX5M2X6400C38 16GB,43,20.3,17.5,
Corsair CMK5S16G3B52C40A2 16GB,47,20.0,15.9,
Corsair CMK5S32G3B56Z40A2 32GB,42,21.1,18.1,
Corsair CMK64GX5M2B5200C40 32GB,43,18.3,16.2,$479.00
Corsair CMK64GX5M2B5600C40 32GB,43,20.6,17.7,$634.99
Corsair CMT32GX5M2B5200C38 16GB,38,17.9,15.2,
Corsair CMT32GX5M2B5200C40 16GB,39,17.5,14.8,$359.00
Corsair CMT32GX5M2B5600C36 16GB,40,19.7,16.6,$359.00
Corsair CMT32GX5M2X5600C36 16GB,33,17.1,14.8,$429.00
Corsair CMT32GX5M2X6000C36 16GB,41,22.2,17.9,
Corsair CMT32GX5M2X6200C36 16GB,40,20.4,17.2,$599.00
